  2019年09月20日发布海洋预报
 
名称              浪高（m）
大连海域          1.1,2.2,3.3
秦皇岛海域        999,999,999
天津海域          999
烟台海域          999
青岛海域          999,999,999
日照海域          999

连云港海域        999
济州岛            999,999,999
上海海域          999
舟山海域          999
温州海域          999
冲绳              999,999,999

平潭海域          999
基隆              999,999,999
厦门海域          999,999,999
高雄              999
汕头海域          999
香港              999,999,999

澳门              999
阳江              999
北海海域          999
海口海域          999
三亚海域          999,999,999
三沙              999

钓鱼岛            999,999,999
澎湖列岛          999,999,999
